corridor_id,corridor_name
JAK.38,Bulak Ringin - Kampung Rambutan
JAK.39,Kalimalang - Duren Sawit
JAK.40,Harapan Baru - Pulo Gebang via Rawa Kuning
JAK.41,Kampung Melayu - Pulo Gadung
JAK.42,Kampung Melayu - Pondok Kelapa
JAK.43B,Tongtek - Tebet Eco Park (TEP) - Cililitan
JAK.43C,Sarana Jaya - Tebet Eco Park (TEP) - Stasiun Cawang
JAK.44,Andara - Stasiun Universitas Pancasila
JAK.45,Lebak Bulus - Ragunan
JAK.46,Pasar Minggu - Jagakarsa
JAK.47,Pasar Minggu - Ciganjur via KB Ragunan
JAK.48A,Stasiun Tebet - Rusun Karet Tengsin
JAK.48B,Stasiun Tebet - Kampung Melayu
JAK.49,Lebak Bulus - Cipulir
JAK.50,Kalideres - Puri Kembangan
JAK.51,Taman Kota - Budi Luhur
JAK.52,Terminal Kalideres - Terminal Muara Angke
JAK.53,Grogol - Pos Pengumben via Slipi
JAK.54,Grogol - Benhil
JAK.56,Grogol - Srengseng
JAK.58,Cilincing - Rorotan
JAK.59,Rawamangun - Tanah Merah
JAK.60,Kelapa Gading - Rusun Kemayoran
JAK.61,Cempaka Putih - Pulo Gadung via Kelapa Gading
JAK.64,Lenteng Agung - Aseli
JAK.71,Kampung Rambutan - Pinang Ranti
JAK.72,Kampung Rambutan - Pasar Rebo via Poncol
JAK.73,Jambore Cibubur - Pasar Rebo
JAK.74,Terminal Rawamangun - Cipinang Muara
JAK.75,Cililitan - Kp. Pulo
JAK.77,Tanjung Priok - Jembatan Item
JAK.80,Rawa Buaya - Rawa Kompeni
JAK.84,Terminal Kampung Melayu - Kapin Raya
JAK.85,Bintara - Cipinang Indah
JAK.86,Term. Rawamangun - Term. Manggarai
JAK.88,Terminal Tanjung Priok - Ancol Barat
JAK.99,Term. Pulo Gadung - Lampiri
JIS3,Harmoni - Jakarta International Stadium
L13E,Puri Beta - Kuningan (Express)
M1,Blok M - Kota
M10,PGC 2 - Tanjung Priok
M11,Pulo Gebang - Pulo Gadung 2
M12,Sunter Boulevard Barat - Penjaringan
M13,Puri Beta 2 - Tendean
M1H,Tanah Abang - St. Gondangdia
M2,Pulo Gadung - Monas
M3,Kalideres - Bundaran HI via Veteran
M4,Pulo Gadung 2 - Dukuh Atas 2
M5,Matraman Baru - Ancol
M6,Ragunan - MH Thamrin
M7,Kampung Rambutan - Monas
M7B,BKN - Blok M
M8,Lebak Bulus - Pasar Baru
M9,Pinang Ranti - Pluit
R1A,Pantai Maju - Kota
S11,BSD - Jelambar
S12,BSD Serpong - Fatmawati
S21,Ciputat - CSW
S22,Ciputat - Kampung Rambutan
S31,Bintaro - Fatmawati
T11,Poris Plawad - Bundaran Senayan
T21,Palem Semi - Bundaran Senayan
